oid,gps,location
10049,"23.893333333333,120.68194444444,23.900833333333,120.68388888889,23.901388888889,120.68305555556,23.904444444444,120.68416666667,23.893055555556,120.68194444444,23.899166666667,120.68388888889,24.172979354858,120.67826843262,23.896388888889,120.68305555556,23.901666666667,120.68305555556,23.903611111111,120.68222222222,23.898333333333,120.68361111111,23.8975,120.68333333333,23.898611111111,120.68388888889,23.900277777778,120.68416666667,(23.892777777778,120.68166666667,23.899444444444,120.68388888889,23.901111111111,120.68361111111,23.898055555556,120.68333333333,23.901388888889,120.68333333333,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.8925,120.68166666667),23.904166666667,120.68333333333,23.904722222222,120.68416666667,23.893888888889,120.68194444444,23.901944444444,120.68277777778,23.893611111111,120.68194444444,23.903055555556,120.68194444444,23.903333333333,120.68194444444,23.903888888889,120.68277777778,23.898055555556,120.68361111111,23.895277777778,120.6825,23.904444444444,120.68361111111,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.894722222222,120.68222222222,23.902222222222,120.6825,23.897222222222,120.68305555556,23.902777777778,120.68222222222,23.894166666667,120.68222222222",南投縣
10050,"23.893333333333,120.68194444444,23.900833333333,120.68388888889,23.901388888889,120.68305555556,23.904444444444,120.68416666667,23.893055555556,120.68194444444,23.899166666667,120.68388888889,23.896388888889,120.68305555556,23.901666666667,120.68305555556,23.903611111111,120.68222222222,23.898333333333,120.68361111111,23.8975,120.68333333333,23.898611111111,120.68388888889,23.900277777778,120.68416666667,(23.892777777778,120.68166666667,23.899444444444,120.68388888889,23.901111111111,120.68361111111,23.898055555556,120.68333333333,23.901388888889,120.68333333333,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.8925,120.68166666667),23.904166666667,120.68333333333,23.904722222222,120.68416666667,23.893888888889,120.68194444444,23.901944444444,120.68277777778,23.893611111111,120.68194444444,23.903055555556,120.68194444444,23.903333333333,120.68194444444,23.903888888889,120.68277777778,23.898055555556,120.68361111111,23.895277777778,120.6825,23.904444444444,120.68361111111,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.894722222222,120.68222222222,23.902222222222,120.6825,23.897222222222,120.68305555556,23.902777777778,120.68222222222,23.894166666667,120.68222222222",南投縣
10052,"(24.173065185547,120.67821502686)",台中市
10053,"23.893333333333,120.68194444444,23.900833333333,120.68388888889,23.901388888889,120.68305555556,23.904444444444,120.68416666667,23.893055555556,120.68194444444,23.899166666667,120.68388888889,23.896388888889,120.68305555556,23.901666666667,120.68305555556,23.903611111111,120.68222222222,23.898333333333,120.68361111111,23.8975,120.68333333333,23.898611111111,120.68388888889,23.900277777778,120.68416666667,(23.892777777778,120.68166666667,23.899444444444,120.68388888889,23.901111111111,120.68361111111,23.898055555556,120.68333333333,23.901388888889,120.68333333333,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.8925,120.68166666667),23.904166666667,120.68333333333,23.904722222222,120.68416666667,23.893888888889,120.68194444444,23.901944444444,120.68277777778,23.893611111111,120.68194444444,23.903055555556,120.68194444444,23.903333333333,120.68194444444,23.903888888889,120.68277777778,23.898055555556,120.68361111111,23.895277777778,120.6825,23.904444444444,120.68361111111,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.894722222222,120.68222222222,23.902222222222,120.6825,23.897222222222,120.68305555556,23.902777777778,120.68222222222,23.894166666667,120.68222222222",南投縣
100539,"(23.888888888889,120.70916666667)",南投縣
100541,"(24.173063278198,120.67830657959,24.173017501831,120.6782989502)",台中市
10055,"24.173015594482,120.67825317383),(24.173063278198,120.67821502686",台中市
100558,"24.173015594482,120.67825317383),(24.173063278198,120.67821502686",台中市
100561,"24.172962188721,120.67833709717),24.172916412354,120.67831420898,(24.173021316528,120.67830657959",台中市
100563,"23.893333333333,120.68194444444,23.896666666667,120.68305555556,23.902777777778,120.68527777778,23.903611111111,120.68583333333,23.905,120.68472222222,23.894722222222,120.6825,23.904444444444,120.68416666667,23.8925,120.68166666667,23.899166666667,120.68388888889,23.901666666667,120.68472222222),23.896388888889,120.68305555556,23.898333333333,120.68361111111,23.8975,120.68333333333,23.901388888889,120.68444444444,23.900277777778,120.68416666667,23.901388888889,120.68472222222,23.903055555556,120.68555555556,(23.905,120.685,23.899444444444,120.68388888889,23.9025,120.68527777778,23.900555555556,120.68444444444,23.903055555556,120.68527777778,23.895555555556,120.68277777778,23.901944444444,120.68472222222,23.894444444444,120.68222222222,23.898888888889,120.68361111111,23.898055555556,120.68333333333,23.905,120.68527777778,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.903888888889,120.68583333333,23.893888888889,120.68222222222,23.895,120.6825,23.898611111111,120.68361111111,23.904722222222,120.68416666667,23.902222222222,120.685,23.893888888889,120.68194444444,23.893611111111,120.68194444444,23.904722222222,120.68527777778,23.896111111111,120.68277777778,23.892777777778,120.68166666667,23.898055555556,120.68361111111,23.904166666667,120.68555555556,23.904722222222,120.68472222222,23.895277777778,120.6825,23.903333333333,120.68555555556,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.9025,120.685,23.901111111111,120.68444444444,23.899722222222,120.68388888889,23.897777777778,120.68333333333,24.17303276062,120.67823791504,23.904722222222,120.68444444444,23.897222222222,120.68333333333,23.903888888889,120.68555555556,23.897222222222,120.68305555556,23.896944444444,120.68305555556,23.903611111111,120.68555555556,23.894166666667,120.68222222222,23.904444444444,120.68555555556,23.900833333333,120.68444444444",南投縣
100598,"(23.892974853516,120.68188476562)",南投縣
100605,"23.893333333333,120.68194444444,23.896666666667,120.68305555556,23.902777777778,120.68527777778,23.903611111111,120.68583333333,23.905,120.68472222222,23.894722222222,120.6825,23.904444444444,120.68416666667,23.8925,120.68166666667,23.899166666667,120.68388888889,24.172979354858,120.67826843262,23.901666666667,120.68472222222),23.896388888889,120.68305555556,23.898333333333,120.68361111111,23.8975,120.68333333333,23.901388888889,120.68444444444,23.900277777778,120.68416666667,23.901388888889,120.68472222222,23.903055555556,120.68555555556,(23.905,120.685,23.899444444444,120.68388888889,23.9025,120.68527777778,23.900555555556,120.68444444444,23.903055555556,120.68527777778,23.895555555556,120.68277777778,23.901944444444,120.68472222222,23.894444444444,120.68222222222,23.898888888889,120.68361111111,23.898055555556,120.68333333333,23.905,120.68527777778,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.903888888889,120.68583333333,23.893888888889,120.68222222222,23.895,120.6825,23.898611111111,120.68361111111,23.904722222222,120.68416666667,23.902222222222,120.685,23.893888888889,120.68194444444,23.893611111111,120.68194444444,23.904722222222,120.68527777778,23.896111111111,120.68277777778,23.892777777778,120.68166666667,23.898055555556,120.68361111111,23.904166666667,120.68555555556,23.904722222222,120.68472222222,23.895277777778,120.6825,23.903333333333,120.68555555556,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.9025,120.685,23.901111111111,120.68444444444,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.904722222222,120.68444444444,23.903888888889,120.68555555556,23.897222222222,120.68333333333,23.897222222222,120.68305555556,23.896944444444,120.68305555556,23.903611111111,120.68555555556,23.894166666667,120.68222222222,23.904444444444,120.68555555556,23.900833333333,120.68444444444",南投縣
100614,"24.173015594482,120.67825317383),(24.173063278198,120.67821502686",台中市
100616,"24.173015594482,120.67825317383),(24.173063278198,120.67821502686",台中市
10062,"23.893333333333,120.68194444444,23.900833333333,120.68388888889,23.901388888889,120.68305555556,23.904444444444,120.68416666667,23.893055555556,120.68194444444,23.899166666667,120.68388888889,23.896388888889,120.68305555556,23.901666666667,120.68305555556,23.903611111111,120.68222222222,23.898333333333,120.68361111111,23.8975,120.68333333333,23.898611111111,120.68388888889,23.900277777778,120.68416666667,(23.892777777778,120.68166666667,23.899444444444,120.68388888889,23.901111111111,120.68361111111,23.898055555556,120.68333333333,23.901388888889,120.68333333333,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.8925,120.68166666667),23.904166666667,120.68333333333,23.904722222222,120.68416666667,23.893888888889,120.68194444444,23.901944444444,120.68277777778,23.893611111111,120.68194444444,23.903055555556,120.68194444444,23.903333333333,120.68194444444,23.903888888889,120.68277777778,23.898055555556,120.68361111111,23.895277777778,120.6825,23.904444444444,120.68361111111,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.894722222222,120.68222222222,24.17303276062,120.67823791504,23.902222222222,120.6825,23.897222222222,120.68305555556,23.902777777778,120.68222222222,23.894166666667,120.68222222222",南投縣
100621,"24.173015594482,120.67825317383),(24.173063278198,120.67821502686",台中市
100625,"(23.904722222222,120.68416666667)",南投縣
100628,"(23.904764175415,120.68431091309,23.904722222222,120.68416666667)",南投縣
100630,"(24.172933578491,120.67826843262,23.904722222222,120.68416666667)",台中市
100632,"(24.172933578491,120.67826843262,23.904722222222,120.68416666667)",台中市
100636,"(23.904722222222,120.68416666667)",南投縣
100642,"(23.888888888889,120.70916666667)",南投縣
100652,"(24.172901153564,120.67817687988)",台中市
100656,"(23.904764175415,120.68431091309,23.904722222222,120.68416666667)",南投縣
100658,"(24.172901153564,120.67817687988)",台中市
100660,"(24.173044204712,120.67823028564)",台中市
100662,"23.893333333333,120.68194444444,23.896666666667,120.68305555556,23.902777777778,120.68527777778,23.903611111111,120.68583333333,23.905,120.68472222222,23.894722222222,120.6825,23.904444444444,120.68416666667,23.8925,120.68166666667,23.899166666667,120.68388888889,23.901666666667,120.68472222222),23.896388888889,120.68305555556,23.898333333333,120.68361111111,23.8975,120.68333333333,23.901388888889,120.68444444444,23.900277777778,120.68416666667,23.901388888889,120.68472222222,23.903055555556,120.68555555556,(23.905,120.685,23.899444444444,120.68388888889,23.9025,120.68527777778,23.900555555556,120.68444444444,23.903055555556,120.68527777778,23.895555555556,120.68277777778,23.901944444444,120.68472222222,23.894444444444,120.68222222222,23.898888888889,120.68361111111,23.898055555556,120.68333333333,23.905,120.68527777778,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.903888888889,120.68583333333,23.893888888889,120.68222222222,23.895,120.6825,23.898611111111,120.68361111111,23.904722222222,120.68416666667,23.902222222222,120.685,23.893888888889,120.68194444444,23.893611111111,120.68194444444,23.904722222222,120.68527777778,23.896111111111,120.68277777778,23.892777777778,120.68166666667,23.898055555556,120.68361111111,23.904166666667,120.68555555556,23.904722222222,120.68472222222,23.895277777778,120.6825,23.903333333333,120.68555555556,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.9025,120.685,23.901111111111,120.68444444444,23.899722222222,120.68388888889,23.897777777778,120.68333333333,24.17303276062,120.67823791504,23.904722222222,120.68444444444,23.897222222222,120.68333333333,23.903888888889,120.68555555556,23.897222222222,120.68305555556,23.896944444444,120.68305555556,23.903611111111,120.68555555556,23.894166666667,120.68222222222,23.904444444444,120.68555555556,23.900833333333,120.68444444444",南投縣
100664,"23.893333333333,120.68194444444,23.896666666667,120.68305555556,23.902777777778,120.68527777778,23.903611111111,120.68583333333,23.905,120.68472222222,23.894722222222,120.6825,23.904444444444,120.68416666667,23.8925,120.68166666667,23.899166666667,120.68388888889,24.172979354858,120.67826843262,23.901666666667,120.68472222222),23.896388888889,120.68305555556,23.898333333333,120.68361111111,23.8975,120.68333333333,23.901388888889,120.68444444444,23.900277777778,120.68416666667,23.901388888889,120.68472222222,23.903055555556,120.68555555556,(23.905,120.685,23.899444444444,120.68388888889,23.9025,120.68527777778,23.900555555556,120.68444444444,23.903055555556,120.68527777778,23.895555555556,120.68277777778,23.901944444444,120.68472222222,23.894444444444,120.68222222222,23.898888888889,120.68361111111,23.898055555556,120.68333333333,23.905,120.68527777778,23.892777777778,120.68194444444,23.9,120.68416666667,23.893055555556,120.68166666667,23.903888888889,120.68583333333,23.893888888889,120.68222222222,23.895,120.6825,23.898611111111,120.68361111111,23.904722222222,120.68416666667,23.902222222222,120.685,23.893888888889,120.68194444444,23.893611111111,120.68194444444,23.904722222222,120.68527777778,23.896111111111,120.68277777778,23.892777777778,120.68166666667,23.898055555556,120.68361111111,23.904166666667,120.68555555556,23.904722222222,120.68472222222,23.895277777778,120.6825,23.903333333333,120.68555555556,23.895833333333,120.68277777778,23.900555555556,120.68416666667,23.9025,120.685,23.901111111111,120.68444444444,23.899722222222,120.68388888889,23.897777777778,120.68333333333,23.904722222222,120.68444444444,23.903888888889,120.68555555556,23.897222222222,120.68333333333,23.897222222222,120.68305555556,23.896944444444,120.68305555556,23.903611111111,120.68555555556,23.894166666667,120.68222222222,23.904444444444,120.68555555556,23.900833333333,120.68444444444",南投縣
